id,city_id/id,name,type
zip_co_152420,l10n_co_base_location.city_co_15047,152420,urban
zip_co_152429,l10n_co_base_location.city_co_15047,152429,rural
zip_co_152427,l10n_co_base_location.city_co_15047,152427,rural
zip_co_152428,l10n_co_base_location.city_co_15047,152428,rural
zip_co_154201,l10n_co_base_location.city_co_15051,154201,urban
zip_co_154207,l10n_co_base_location.city_co_15051,154207,rural
zip_co_150640,l10n_co_base_location.city_co_15087,150640,urban
zip_co_150647,l10n_co_base_location.city_co_15087,150647,rural
zip_co_152617,l10n_co_base_location.city_co_15090,152617,rural
zip_co_152610,l10n_co_base_location.city_co_15090,152610,urban
zip_co_150610,l10n_co_base_location.city_co_15092,150610,urban
zip_co_150617,l10n_co_base_location.city_co_15092,150617,rural
zip_co_151060,l10n_co_base_location.city_co_15097,151060,urban
zip_co_151067,l10n_co_base_location.city_co_15097,151067,rural
zip_co_153610,l10n_co_base_location.city_co_15104,153610,urban
zip_co_153617,l10n_co_base_location.city_co_15104,153617,rural
zip_co_154670,l10n_co_base_location.city_co_15106,154670,urban
zip_co_154677,l10n_co_base_location.city_co_15106,154677,rural
zip_co_154840,l10n_co_base_location.city_co_15109,154840,urban
zip_co_154847,l10n_co_base_location.city_co_15109,154847,rural
zip_co_154848,l10n_co_base_location.city_co_15109,154848,rural
zip_co_152087,l10n_co_base_location.city_co_15114,152087,rural
zip_co_152080,l10n_co_base_location.city_co_15114,152080,urban
zip_co_154660,l10n_co_base_location.city_co_15131,154660,urban
zip_co_154667,l10n_co_base_location.city_co_15131,154667,rural
zip_co_152640,l10n_co_base_location.city_co_15135,152640,urban
zip_co_152647,l10n_co_base_location.city_co_15135,152647,rural
zip_co_150627,l10n_co_base_location.city_co_15162,150627,rural
zip_co_150620,l10n_co_base_location.city_co_15162,150620,urban
zip_co_153287,l10n_co_base_location.city_co_15172,153287,rural
zip_co_153280,l10n_co_base_location.city_co_15172,153280,urban
zip_co_154640,l10n_co_base_location.city_co_15176,154640,urban
zip_co_154647,l10n_co_base_location.city_co_15176,154647,rural
zip_co_154648,l10n_co_base_location.city_co_15176,154648,rural
zip_co_154020,l10n_co_base_location.city_co_15232,154020,urban
zip_co_154027,l10n_co_base_location.city_co_15232,154027,rural
zip_co_151401,l10n_co_base_location.city_co_15180,151401,urban
zip_co_151407,l10n_co_base_location.city_co_15180,151407,rural
zip_co_151601,l10n_co_base_location.city_co_15183,151601,urban
zip_co_151609,l10n_co_base_location.city_co_15183,151609,rural
zip_co_151608,l10n_co_base_location.city_co_15183,151608,rural
zip_co_151607,l10n_co_base_location.city_co_15183,151607,rural
zip_co_154420,l10n_co_base_location.city_co_15185,154420,urban
zip_co_154428,l10n_co_base_location.city_co_15185,154428,rural
zip_co_154427,l10n_co_base_location.city_co_15185,154427,rural
zip_co_150240,l10n_co_base_location.city_co_15187,150240,urban
zip_co_150247,l10n_co_base_location.city_co_15187,150247,rural
zip_co_153001,l10n_co_base_location.city_co_15236,153001,urban
